,V_f (m^3),work (J)
578,0.2156,-1649.8272755425755
579,0.21580000000000005,-1651.52784983335
580,0.21600000000000003,-1653.2262190673491
581,0.21620000000000003,-1654.9223881415307
582,0.21640000000000004,-1656.6163619374618
583,0.21660000000000001,-1658.3081453213777
584,0.21680000000000002,-1659.9977431442483
585,0.21700000000000003,-1661.6851602418371
586,0.21720000000000003,-1663.3704014347636
587,0.21740000000000004,-1665.0534715285664
588,0.21760000000000002,-1666.7343753137607
589,0.21780000000000002,-1668.413117565902
590,0.21800000000000003,-1670.0897030456451
591,0.21820000000000003,-1671.7641364988049
592,0.21840000000000004,-1673.4364226564162
593,0.21860000000000002,-1675.1065662347914
594,0.21880000000000002,-1676.7745719355833
595,0.21900000000000003,-1678.4404444458405
596,0.21920000000000003,-1680.1041884380675
597,0.21940000000000004,-1681.7658085702844
598,0.21960000000000002,-1683.4253094860821
599,0.21980000000000002,-1685.0826958146824
600,0.22000000000000003,-1686.7379721709942
601,0.2202,-1688.3911431556714
602,0.22040000000000004,-1690.042213355171
603,0.22060000000000002,-1691.6911873418053
604,0.22080000000000002,-1693.3380696738043
605,0.22100000000000003,-1694.9828648953676
606,0.2212,-1696.6255775367213
607,0.22140000000000004,-1698.2662121141748
608,0.22160000000000002,-1699.9047731301732
609,0.22180000000000002,-1701.541265073356
610,0.22200000000000003,-1703.1756924186097
611,0.2222,-1704.8080596271213
612,0.22240000000000004,-1706.4383711464352
613,0.22260000000000002,-1708.0666314105051
614,0.22280000000000003,-1709.6928448397482
615,0.22300000000000003,-1711.317015841099
616,0.2232,-1712.9391488080628
617,0.22340000000000004,-1714.5592481207668
618,0.22360000000000002,-1716.177318146015
619,0.22380000000000003,-1717.7933632373395
620,0.22400000000000003,-1719.4073877350527
621,0.2242,-1721.0193959662984
622,0.22440000000000004,-1722.6293922451064
623,0.22460000000000002,-1724.2373808724394
624,0.22480000000000003,-1725.8433661362483
625,0.22500000000000003,-1727.447352311521
626,0.22520000000000004,-1729.0493436603333
627,0.22540000000000002,-1730.6493444318987
628,0.22560000000000002,-1732.2473588626215
629,0.22580000000000003,-1733.8433911761426
630,0.22600000000000003,-1735.4374455833915
631,0.22620000000000004,-1737.029526282637
632,0.22640000000000002,-1738.6196374595327
633,0.22660000000000002,-1740.20778328717
634,0.22680000000000003,-1741.7939679261249
635,0.22700000000000004,-1743.3781955245051
636,0.22720000000000004,-1744.9604702180018
637,0.22740000000000002,-1746.5407961299345
638,0.22760000000000002,-1748.1191773713015
639,0.22780000000000003,-1749.6956180408251
640,0.22800000000000004,-1751.2701222250007
641,0.22820000000000004,-1752.8426939981434
642,0.22840000000000002,-1754.4133374224343
643,0.22860000000000003,-1755.9820565479688
644,0.22880000000000003,-1757.5488554128015
645,0.22900000000000004,-1759.1137380429932
646,0.22920000000000004,-1760.6767084526573
647,0.22940000000000002,-1762.2377706440047
648,0.22960000000000003,-1763.7969286073899
649,0.22980000000000003,-1765.3541863213568
650,0.23000000000000004,-1766.909547752684
651,0.23020000000000002,-1768.4630168564283
652,0.23040000000000002,-1770.014597575972
653,0.23060000000000003,-1771.564293843064
654,0.23080000000000003,-1773.1121095778676
655,0.23100000000000004,-1774.6580486890039
656,0.23120000000000002,-1776.2021150735932
657,0.23140000000000002,-1777.744312617302
658,0.23160000000000003,-1779.2846451943838
659,0.23180000000000003,-1780.8231166677256
660,0.23200000000000004,-1782.3597308888882
661,0.23220000000000002,-1783.8944916981497
662,0.23240000000000002,-1785.4274029245498
663,0.23260000000000003,-1786.95846838593
664,0.23280000000000003,-1788.4876918889784
665,0.23300000000000004,-1790.0150772292695
666,0.23320000000000002,-1791.5406281913079
667,0.23340000000000002,-1793.0643485485693
668,0.23360000000000003,-1794.5862420635415
669,0.23380000000000004,-1796.1063124877678
670,0.23400000000000004,-1797.6245635618848
671,0.23420000000000002,-1799.1409990156676
672,0.23440000000000003,-1800.6556225680665
673,0.23460000000000003,-1802.1684379272508
674,0.23480000000000004,-1803.6794487906468
675,0.23500000000000004,-1805.18865884498
676,0.23520000000000002,-1806.6960717663137
677,0.23540000000000003,-1808.2016912200895
678,0.23560000000000003,-1809.7055208611673
679,0.23580000000000004,-1811.2075643338649
680,0.23600000000000004,-1812.7078252719953
681,0.23620000000000002,-1814.2063072989083
682,0.23640000000000003,-1815.7030140275288
683,0.23660000000000003,-1817.1979490603949
684,0.23680000000000004,-1818.6911159896977
685,0.23700000000000004,-1820.1825183973178
686,0.23720000000000002,-1821.6721598548654
687,0.23740000000000003,-1823.1600439237177
688,0.23760000000000003,-1824.646174155057
689,0.23780000000000004,-1826.130554089908
690,0.23800000000000002,-1827.6131872591754
691,0.23820000000000002,-1829.0940771836824
692,0.23840000000000003,-1830.573227374206
693,0.23860000000000003,-1832.0506413315159
694,0.23880000000000004,-1833.52632254641
695,0.23900000000000002,-1835.000274499752
696,0.23920000000000002,-1836.472500662508
697,0.23940000000000003,-1837.9430044957826
698,0.23960000000000004,-1839.411789450854
699,0.23980000000000004,-1840.8788589692117
700,0.24000000000000002,-1842.344216482593
701,0.24020000000000002,-1843.8078654130168
702,0.24040000000000003,-1845.2698091728196
703,0.24060000000000004,-1846.7300511646913
704,0.24080000000000004,-1848.188594781711
705,0.24100000000000002,-1849.6454434073821
706,0.24120000000000003,-1851.1006004156652
707,0.24140000000000003,-1852.5540691710157
708,0.24160000000000004,-1854.0058530284166
709,0.24180000000000004,-1855.4559553334134
710,0.24200000000000002,-1856.9043794221488
711,0.24220000000000003,-1858.351128621397
712,0.24240000000000003,-1859.7962062485972
713,0.24260000000000004,-1861.239615611887
714,0.24280000000000004,-1862.6813600101368
715,0.24300000000000002,-1864.1214427329842
716,0.24320000000000003,-1865.559867060866
717,0.24340000000000003,-1866.996636265052
718,0.24360000000000004,-1868.4317536076778
719,0.24380000000000004,-1869.8652223417787
720,0.24400000000000002,-1871.2970457113215
721,0.24420000000000003,-1872.727226951238
722,0.24440000000000003,-1874.1557692874565
723,0.24460000000000004,-1875.5826759369356
724,0.24480000000000005,-1877.0079501076953
725,0.24500000000000002,-1878.4315949988502
726,0.24520000000000003,-1879.8536138006396
727,0.24540000000000003,-1881.274009694461
