,T (K),U (eV),F (eV),S (eV/K)
0,300.0,0.0,-0.06822490952160479,0.00022741636507202234
1,301.0,-0.0,-0.06845232588667681,0.00022741636507202234
2,302.0,-0.0,-0.06867974225174883,0.0002274163650720154
3,303.0,-0.0,-0.06890715861682084,0.0002274163650720154
4,304.0,-1.7763568394002505e-15,-0.06913457498189286,0.0002274163650720154
5,305.0,-0.0,-0.06936199134696487,0.0002274163650720154
6,306.0,-0.0,-0.0695894077120369,0.00022741636507202234
7,307.0,-0.0,-0.06981682407710892,0.0002274163650720154
8,308.0,-0.0,-0.07004424044218092,0.0002274163650720154
9,309.0,-0.0,-0.07027165680725295,0.0002274163650720154
10,310.0,-1.7763568394002505e-15,-0.07049907317232496,0.0002274163650720154
11,311.0,-1.7763568394002505e-15,-0.07072648953739698,0.0002274163650720154
12,312.0,-0.0,-0.07095390590246899,0.0002274163650720154
13,313.0,-1.7763568394002505e-15,-0.07118132226754101,0.0002274163650720154
14,314.0,1.7763568394002505e-15,-0.07140873863261302,0.0002274163650720154
15,315.0,3.552713678800501e-15,-0.07163615499768504,0.0002274163650720154
16,316.0,-1.7763568394002505e-15,-0.07186357136275705,0.0002274163650720154
17,317.0,-0.0,-0.07209098772782907,0.00022741636507202234
18,318.0,-1.7763568394002505e-15,-0.07231840409290109,0.0002274163650720154
19,319.0,1.7763568394002505e-15,-0.0725458204579731,0.0002274163650720154
20,320.0,-1.7763568394002505e-15,-0.07277323682304512,0.0002274163650720154
21,321.0,-3.552713678800501e-15,-0.07300065318811713,0.0002274163650720154
22,322.0,-1.7763568394002505e-15,-0.07322806955318915,0.0002274163650720154
23,323.0,-0.0,-0.07345548591826116,0.0002274163650720154
24,324.0,-0.0,-0.07368290228333318,0.0002274163650720154
25,325.0,1.7763568394002505e-15,-0.0739103186484052,0.0002274163650720154
26,326.0,-0.0,-0.07413773501347722,0.0002274163650720154
27,327.0,-0.0,-0.07436515137854922,0.0002274163650720154
28,328.0,-0.0,-0.07459256774362125,0.0002274163650720154
29,329.0,-0.0,-0.07481998410869325,0.0002274163650720154
30,330.0,-1.7763568394002505e-15,-0.07504740047376528,0.00022741636507202234
31,331.0,-0.0,-0.0752748168388373,0.0002274163650720154
32,332.0,-1.7763568394002505e-15,-0.07550223320390931,0.0002274163650720154
33,333.0,-1.7763568394002505e-15,-0.07572964956898133,0.0002274163650720154
34,334.0,-0.0,-0.07595706593405334,0.0002274163650720154
35,335.0,-0.0,-0.07618448229912536,0.0002274163650720154
36,336.0,-0.0,-0.07641189866419737,0.0002274163650720154
37,337.0,-0.0,-0.07663931502926939,0.0002274163650720154
38,338.0,1.7763568394002505e-15,-0.0768667313943414,0.0002274163650720154
39,339.0,-3.552713678800501e-15,-0.07709414775941342,0.0002274163650720154
40,340.0,-0.0,-0.07732156412448543,0.0002274163650720154
41,341.0,1.7763568394002505e-15,-0.07754898048955745,0.0002274163650720154
42,342.0,1.7763568394002505e-15,-0.07777639685462946,0.0002274163650720154
43,343.0,-0.0,-0.07800381321970148,0.00022741636507202234
44,344.0,-1.7763568394002505e-15,-0.0782312295847735,0.0002274163650720154
45,345.0,3.552713678800501e-15,-0.07845864594984552,0.0002274163650720154
46,346.0,-1.7763568394002505e-15,-0.07868606231491754,0.00022741636507202234
47,347.0,-0.0,-0.07891347867998956,0.0002274163650720154
48,348.0,-3.552713678800501e-15,-0.07914089504506157,0.00022741636507200846
49,349.0,-0.0,-0.07936831141013358,0.0002274163650720154
50,350.0,-1.7763568394002505e-15,-0.0795957277752056,0.0002274163650720154
51,351.0,-1.7763568394002505e-15,-0.07982314414027761,0.0002274163650720154
52,352.0,-0.0,-0.08005056050534963,0.0002274163650720154
