,T (K),U (eV),F (eV),S (eV/K)
0,300.0,0.000589411997086285,-0.03596371270125111,0.00012184374899446015
1,301.0,0.0005940553976069296,-0.03608555645024557,0.00012185912449287628
2,302.0,0.0006033541337346904,-0.03620743095023686,0.0001218899656236401
3,303.0,0.0006127381084564121,-0.03632933638149285,0.0001219209865829067
4,304.0,0.000622207414379794,-0.036451272923402674,0.00012195218649079659
5,305.0,0.0006317621408369334,-0.03657324075447444,0.00012198356446530348
6,306.0,0.0006414023739305108,-0.03669524005233328,0.00012201511962255107
7,307.0,0.0006511281965968507,-0.03681727099371954,0.00012204685107695956
8,308.0,0.0006609396886743113,-0.0369393337544872,0.00012207875794151973
9,309.0,0.0006708369269450287,-0.03706142850960258,0.00012211083932794908
10,310.0,0.0006808199852077479,-0.0371835554331431,0.00012214309434691734
11,311.0,0.0006908889343222313,-0.03730571469829642,0.00012217552210824767
12,312.0,0.0007010438422820897,-0.03742790647735959,0.0001222081217211006
13,313.0,0.0007112847742574147,-0.03755013094173862,0.00012224089229418908
14,314.0,0.0007216117926551746,-0.03767238826194797,0.00012227383293591035
15,315.0,0.0007320249571796111,-0.03779467860761044,0.00012230694275458878
16,316.0,0.0007425243248793123,-0.03791700214745715,0.0001223402208586251
17,317.0,0.0007531099502138261,-0.03803935904932769,0.00012237366635664548
18,318.0,0.0007637818850945166,-0.03816174948017044,0.0001224072783577064
19,319.0,0.0007745401789458484,-0.0382841736060431,0.0001224410559714402
20,320.0,0.0007853848787497952,-0.03840663159211332,0.00012247499830820782
21,321.0,0.0007963160291222238,-0.03852912360265952,0.00012250910447928268
22,322.0,0.0008073336723297686,-0.038651649801071886,0.00012254337359695472
23,323.0,0.0008184378483742094,-0.03877421034985343,0.00012257780477472127
24,324.0,0.0008296285950182281,-0.03889680541062133,0.00012261239712740846
25,325.0,0.0008409059478493575,-0.039019435144108244,0.0001226471497712961
26,326.0,0.0008522699403279432,-0.03914209971016392,0.00012268206182430505
27,327.0,0.000863720603838658,-0.039264799267756854,0.00012271713240606316
28,328.0,0.0008752579677260286,-0.03938753397497605,0.00012275236063805442
29,329.0,0.0008868820593548321,-0.03951030398903296,0.00012278774564377162
30,330.0,0.0008985929041642748,-0.03963310946626359,0.00012282328654882047
31,331.0,0.0009103905256973022,-0.039755950562130604,0.00012285898248100627
32,332.0,0.0009222749456458956,-0.0398788274312256,0.00012289483257047623
33,333.0,0.0009342461839239036,-0.04000174022727156,0.00012293083594982698
34,334.0,0.0009463042586732584,-0.040124689103125256,0.00012296699175418438
35,335.0,0.0009584491863403599,-0.040247674210779925,0.00012300329912135616
36,336.0,0.0009706809817098261,-0.04037069570136797,0.00012303975719188398
37,337.0,0.0009829996579329148,-0.04049375372516369,0.00012307636510914752
38,338.0,0.0009954052265923607,-0.040616848431586264,0.00012311312201947547
39,339.0,0.001007897697733462,-0.040739979969202644,0.00012315002707221495
40,340.0,0.001020477079902271,-0.040863148485730694,0.00012318707941982518
41,341.0,0.001033143380190893,-0.040986354128042295,0.0001232242782179642
42,342.0,0.0010458966042765638,-0.04110959704216662,0.0001232616226255548
43,343.0,0.0010587367564589556,-0.041232877373293404,0.00012329911180488165
44,344.0,0.0010716638397108014,-0.041356195265776385,0.00012333674492165034
45,345.0,0.0010846778556876657,-0.041479550863136705,0.00012337452114503933
46,346.0,0.001097778804799887,-0.041602944308066464,0.00012341243964783186
47,347.0,0.001110966686228565,-0.04172637574243237,0.00012345049960639856
48,348.0,0.0011242414979539816,-0.04184984530727926,0.00012348870020080505
49,349.0,0.0011376032368257682,-0.04197335314283398,0.00012352704061489514
50,350.0,0.0011510518985575757,-0.04209689938850905,0.0001235655200363013
51,351.0,0.0011645874777910237,-0.04222048418290658,0.00012360413765652445
52,352.0,0.001178209968103694,-0.0423441076638221,0.00012364289267094083
53,353.0,0.0011919193620686386,-0.04246776996824846,0.00012368178427893395
54,354.0,0.0012057156512712552,-0.04259147123237997,0.00012372081168389448
55,355.0,0.0012195988263412616,-0.04271521159161625,0.00012375997409324116
56,356.0,0.0012335688769944397,-0.04283899118056645,0.00012379927071851787
57,357.0,0.0012476257920432943,-0.04296281013305329,0.00012383870077537287
58,358.0,0.0012617695594565603,-0.043086668582117196,0.00012387826348366632
59,359.0,0.001276000166356539,-0.04321056666002062,0.00012391795806744946
60,360.0,0.0012903175990750526,-0.043334504498252095,0.00012395778375500627
61,361.0,0.001304721843155221,-0.04345848222753063,0.0001239977397789055
62,362.0,0.001319212883412746,-0.043582499977809906,0.0001240378253760388
63,363.0,0.0013337907039403518,-0.04370655787828271,0.00012407803978762427
64,364.0,0.0013484552881237732,-0.043830656057385155,0.00012411838225921332
65,365.0,0.0013632066187003744,-0.04395479464280114,0.00012415885204076355
66,366.0,0.0013780446777555966,-0.04407897376146668,0.000124199448386611
67,367.0,0.0013929694467602616,-0.04420319353957436,0.00012424017055555
68,368.0,0.0014079809065989934,-0.04432745410257778,0.00012428101781079143
69,369.0,0.001423079037587982,-0.04445175557519594,0.00012432198942001135
70,370.0,0.001438263819499852,-0.044576098081417805,0.00012436308465536144
71,371.0,0.001453535231568992,-0.044700481744506665,0.00012440430279345507
72,372.0,0.001468893252559056,-0.044824906687004715,0.00012444564311544365
73,373.0,0.0014843378607292124,-0.04494937303073755,0.00012448710490695417
74,374.0,0.001499869033905199,-0.04507388089681862,0.00012452868745814125
75,375.0,0.0015154867494509006,-0.045198430405653835,0.00012457039006367326
76,376.0,0.0015311909843305216,-0.04532302167694597,0.00012461221202272887
77,377.0,0.0015469817151156917,-0.04544765482969929,0.00012465415263906293
78,378.0,0.0015628589179907948,-0.045572329982224095,0.00012469621122095098
79,379.0,0.001578822568783167,-0.045697047252141194,0.00012473838708116497
80,380.0,0.0015948726429808602,-0.045821806756386425,0.00012478067953704264
81,381.0,0.0016110091157504058,-0.04594660861121528,0.0001248230879104563
82,382.0,0.0016272319619439202,-0.04607145293220734,0.00012486561152778852
83,383.0,0.0016435411561399604,-0.04619633983427086,0.00012490824971998077
84,384.0,0.0016599366726275377,-0.0463212694316473,0.00012495100182247781
85,385.0,0.001676418485450526,-0.04644624183791581,0.00012499386717521738
86,386.0,0.0016929865683970036,-0.046571257165997734,0.0001250368451226752
87,387.0,0.0017096408950418862,-0.04669631552816116,0.00012507993501382694
88,388.0,0.0017263814387415977,-0.04682141703602539,0.00012512313620213072
89,389.0,0.001743208172650057,-0.046946561800565424,0.0001251664480455307
90,390.0,0.0017601210697435477,-0.04707174993211645,0.00012520986990641886
91,391.0,0.0017771201028118355,-0.04719698154037826,0.00012525340115166275
92,392.0,0.0017942052445008017,-0.047322256734419775,0.00012529704115257778
93,393.0,0.0018113764672982313,-0.04744757562268342,0.0001253407892848786
94,394.0,0.0018286337435569067,-0.04757293831298953,0.0001253846449287381
95,395.0,0.0018459770455123703,-0.047698344912540894,0.00012542860746870416
96,396.0,0.001863406345281149,-0.04782379552792694,0.00012547267629369266
97,397.0,0.0018809216148785168,-0.04794929026512828,0.00012551685079701183
98,398.0,0.0018985228262238252,-0.048074829229520964,0.00012556113037628241
99,399.0,0.0019162099511529362,-0.048200412525880844,0.00012560551443348278
100,400.0,0.0019339829614395398,-0.04832604025838793,0.00012565000237490034
101,401.0,0.0019518418287827188,-0.048451712530630645,0.000125694593611083
102,402.0,0.0019697865248229363,-0.048577429445610096,0.00012573928755685998
103,403.0,0.001987817021170457,-0.048703191105744364,0.00012578408363130705
104,404.0,0.0020059332893804793,-0.04882899761287271,0.00012582898125772582
105,405.0,0.002024135300979779,-0.048954849068259816,0.0001258739798636159
106,406.0,0.002042423027480922,-0.04908074557259994,0.00012591907888063678
107,407.0,0.0020607964403591694,-0.04920668722602109,0.00012596427774461821
108,408.0,0.0020792555111111,-0.04933267412808918,0.00012600957589552556
109,409.0,0.00209780021120487,-0.04945870637781214,0.00012605497277740768
110,410.0,0.0021164305121121885,-0.049584784073643993,0.0001261004678384109
