,T (K),U (eV),F (eV),S (eV/K)
46,346.0,3.116509960499059e-05,-0.053426370525208634,0.00015450154451656165
47,347.0,3.201990145562661e-05,-0.05358087329180986,0.00015450401137892186
48,348.0,3.289303102782526e-05,-0.05373537854796648,0.00015450652388295655
49,349.0,3.378475784820978e-05,-0.053889886339575775,0.0001545090825400934
50,350.0,3.4695353098967985e-05,-0.054044396713046665,0.00015451168786215913
51,351.0,3.5625089608970484e-05,-0.05419890971530009,0.0001545143403612649
52,352.0,3.657424181646718e-05,-0.054353425393769195,0.00015451704054972662
53,353.0,3.7543085754876415e-05,-0.05450794379639955,0.00015451978894006485
54,354.0,3.8531899038574124e-05,-0.054662464971649324,0.00015452258604489733
55,355.0,3.954096083802483e-05,-0.05481698896848934,0.00015452543237687646
56,356.0,4.057055184603087e-05,-0.05497151583640308,0.0001545283284486304
57,357.0,4.162095426174517e-05,-0.0551260456253866,0.00015453127477271442
58,358.0,4.26924517853422e-05,-0.055280578385948506,0.00015453427186154153
59,359.0,4.3785329561174535e-05,-0.055435114169109685,0.00015453732022732009
60,360.0,4.489987419908914e-05,-0.055589653026403146,0.00015454042038198085
61,361.0,4.60363737033731e-05,-0.05574419500987365,0.00015454357283713888
62,362.0,4.719511747452998e-05,-0.055898740172077424,0.0001545467781040137
63,363.0,4.8376396307503455e-05,-0.056053288566081674,0.00015455003669338427
64,364.0,4.958050231707034e-05,-0.05620784024546419,0.00015455334911552293
65,365.0,5.080772896093322e-05,-0.05636239526431272,0.0001545567158801192
66,366.0,5.2058370986429736e-05,-0.05651695367722443,0.0001545601374962416
67,367.0,5.333272441809811e-05,-0.0566715155393052,0.00015456361447229242
68,368.0,5.463108654168991e-05,-0.056826080906169016,0.0001545671473159281
69,369.0,5.5953755865090216e-05,-0.05698064983393706,0.0001545707365339724
70,370.0,5.730103209344861e-05,-0.05713522237923696,0.00015457438263242682
71,371.0,5.867321612207377e-05,-0.05728979859920191,0.00015457808611636994
72,372.0,6.007060999557723e-05,-0.0574443785514697,0.00015458184748990203
73,373.0,6.149351689010985e-05,-0.05759896229418172,0.0001545856672561033
74,374.0,6.294224108494006e-05,-0.05775354988598191,0.00015458954591698534
75,375.0,6.441708795001944e-05,-0.05790814138601569,0.00015459348397340103
76,376.0,6.591836388558647e-05,-0.05806273685392871,0.00015459748192501316
77,377.0,6.74463763576938e-05,-0.058217336349865714,0.00015460154027026676
78,378.0,6.900143381294299e-05,-0.05837193993446924,0.00015460565950629543
79,379.0,7.058384568736642e-05,-0.058526547668878305,0.00015460984012887966
80,380.0,7.219392236557098e-05,-0.058681159614727,0.00015461408263239482
81,381.0,7.383197517008e-05,-0.058835775834143095,0.00015461838750976606
